Title,Address,Link
Acadia University Archives and Special Collections,"KIRKCONNELL READING ROOM VAUGHAN MEMORIAL LIBRARYWOLFVILLE, Nova Scotia B4P 2R6 Canada",https://library.acadiau.ca/archives.html
Acadia University Art Gallery,"10 Highland Avenue, Wolfville, Nova Scotia, B4P 2R6, CanadaWOLFVILLE, Nova Scotia B4P 2R6 Canada",http://gallery.acadiau.ca/Acadia_Art_Gallery/Welcome.html
Acadian House Museum,"79 HILL ROADWEST CHEZZETCOOK, Nova Scotia B0J 1N0 Canada",https://www.acadiedechezzetcook.ca/
Acadian Museum of Prince Edward Island,"23 MAIN DRIVEMISCOUCHE, Prince Edward Island C0B 1T0 Canada",https://www.museeacadien.org/
Aceartinc.,"208 PRINCESS STREETWINNIPEG, Manitoba R3B 1L4 Canada",https://www.aceart.org/
Adelaide Hunter Hoodless Homestead,"359 BLUE LAKE ROADST GEORGE, Ontario N0E 1N0 Canada",http://www.adelaidehoodless.ca/
Admiral Digby Museum,"95 MONTAGUE ROWDIGBY, Nova Scotia B0V 1A0 Canada",http://admiraldigbymuseum.ca/
Admiralty House Communications Museum,"365 OLD PLACENTIA ROADMOUNT PEARL, Newfoundland & Labrador A1N 0G7 Canada",https://www.admiraltymuseum.com/
Aerospace Heritage Foundation of Canada,"ETOBICOKE, Ontario M9A 4X2 Canada",https://www.ahfc.org/
Africville Heritage Trust Society (Africville Museum),"5795 AFRICVILLE ROADHALIFAX, Nova Scotia B3K 2R9 Canada",https://africvillemuseum.org/
Aga Khan Museum,"77 WYNFORD DRIVETORONTO, Ontario M3C 1K1 Canada",https://www.agakhanmuseum.org/
Agassiz Harrison Historical Society Museum,"7011 PIONEER STREETAGASSIZ, British Columbia V0M 1A0 Canada",http://agassizharrisonmuseum.org/
Age of Sail Heritage Museum (Greville Bay Shipbuilding Museum Society),"8334 HIGHWAY 209PORT GREVILLE, Nova Scotia B0M 1T0 Canada",https://ageofsailmuseum.ca/
Agnes Etherington Art Centre,"QUEEN'S UNIVERSITY, 36 UNIVERSITY AVENUEKINGSTON, Ontario K7L 3N6 Canada",https://agnes.queensu.ca/
Agnes Jamieson Gallery,"176 BOBCAYGEON ROADMINDEN, Ontario K0M 2K0 Canada",https://mindenhills.ca/agnes-jamieson-art-gallery/
Agricultural Museum of New Brunswick,"28 PERRY STREETSUSSEX, New Brunswick E4E 2N7 Canada",https://www.agriculturalmuseumnb.com/
AHVA Library Gallery,"6398 UNIVERSITY BOULEVARD, ROOM 1001VANCOUVER, British Columbia V6T 1Z4 Canada",https://ahva.ubc.ca/ahva-gallery-home/
Air Defense Museum,"6513, CHEMIN SAINT-ANICETLA BAIE, Quebec G7B 3N8 Canada",https://museebagotville.ca/fr/accueil
Air Force Heritage Museum and Air Park,"186 AIR FORCE WAYWINNIPEG, Manitoba R3J 3Y5 Canada",https://www.travelmanitoba.com/listings/air-force-heritage-museum-and-air-park/3825/
Aireum Canadian Broadcast Museum,"SUITE LL-1, 1000 YONGE STREETTORONTO, Ontario M4W 2K2 Canada",http://www.aireum.ca/
AKA Artist-Run,"424 20TH STREET WESTSASKATOON, Saskatchewan S7M 0X4 Canada",http://akaartistrun.com/
Al Mazur Memorial Heritage Park,"JUNCTION OF HIGHWAY 3 & 9HUDSON BAY, Saskatchewan S0E 0Y0 Canada",http://www.townofhudsonbay.com/default.aspx?page=80
Alberni Valley Museum,"4255 WALLACE STREETPORT ALBERNI, British Columbia V9Y 3Y6 Canada",https://www.portalberni.ca/alberni-valley-museum-0
Albert County Museum,"3940 ROUTE 114HOPEWELL CAPE, New Brunswick E4H 3J8 Canada",https://www.albertcountymuseum.com/
Alberta Aviation Museum Association,"11410 KINGSWAY NWEDMONTON, Alberta T5G 0X4 Canada",https://www.albertaaviationmuseum.com/
Alberta Beach & District Museum and Archives,"5000 47 AVENUEALBERTA BEACH, Alberta T0E 0A0 Canada",http://albertabeachmuseum.ca/
Alberta Central Railway Museum,"RANGE ROAD 234WETASKIWIN COUNTY, Alberta T9A 1W9 Canada",https://abcentralrailway.com/
Alberta Forest Service Museum,"1176 SWITZER DRIVEHINTON, Alberta T7V 1V3 Canada",https://www.hinton.ca/241/Attractions-Activities
Alberta Museums Association,"SUITE 120, 12420.104 AVENUE NWEDMONTON, Alberta T5N 3Z9 Canada",https://www.museums.ab.ca/
Alberta Railway Museum,"24215 - 34 STREETEDMONTON, Alberta T5Y 6B4 Canada",https://albertarailwaymuseum.com/
Alberta Sports Hall of Fame and Museum,"# 102 - 4200 HIGHWAY 2, Red Deer, AlbertaT4N 1E3, CanadaRED DEER, Alberta T4N 1E3 Canada",https://www.albertasportshall.ca/
Alberta University of the Arts,"1407 14 AVENUE NWCALGARY, Alberta T2N 4R3 Canada",https://www.auarts.ca/
Alberton Museum & Genealogy Center,"457 CHURCH STREETALBERTON, Prince Edward Island C0B 1B0 Canada",https://www.tourismpei.com/search/OperatorDetails/name/AlbertonMuseumGenealogyCentre/op_id/4942/
Alert Bay Library-Museum,"116 FIR STREETALERT BAY, British Columbia V0N 1A0 Canada",https://alertbay.bc.libraries.coop/
Alex Youck School Museum,"1600 4TH AVENUEREGINA, Saskatchewan S4R 8C8 Canada",https://411.ca/business/profile/13297187
Alexander Graham Bell National Historic Site,"559 CHEBUCTO STREETBADDECK, Nova Scotia B0E 1B0 Canada",https://www.pc.gc.ca/en/lhn-nhs/ns/grahambell
Alexander James House (Evergreen House),"26 NEWCASTLE STREETDARTMOUTH, Nova Scotia B2Y 3M5 Canada",https://www.dartmouthheritagemuseum.ns.ca/visit/evergreen-house/
Alexis Cyr House,"DE LA CHAPELLE STREETEDMUNDSTON, New Brunswick E7C 1K9 Canada",https://www.historicplaces.ca/en/rep-reg/place-lieu.aspx?id=8765
Alfred Hole Goose Sanctuary,"WHITESHELL PROVINCIAL PARKRENNIE, Manitoba R0E 1R0 Canada",https://www.gov.mb.ca/sd/parks/education-and-interpretation/alfredhole.html
Algonquin Logging Museum,"ALGONQUIN PROVINCIAL PARK, KM 54.5 OF HIGHWAY 60WHITNEY, Ontario K0J 2M0 Canada",http://www.algonquinpark.on.ca/visit/locations/algonquin-logging-museum.php
Alix Wagon Wheel Museum,"4912 50TH STREETALIX, Alberta T0C 0B0 Canada",https://alixwagonwheelmuseum.wordpress.com/
Allan Gardens Conservatory,"19 HORTICULTURAL AVENUETORONTO, Ontario M5A 2P2 Canada",https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/allan-gardens-conservatory/
Allan Macpherson House (The),"180 ELIZABETH STREETNAPANEE, Ontario K7R 1B5 Canada",https://www.lennox-addington.on.ca/museum-archives/macpherson-house
Allen Sapp Gallery,"1 RAILWAY AVENUENORTH BATTLEFORD, Saskatchewan S9A 2Y6 Canada",https://www.allensapp.com/
Alliance and District Museum Society,"202 2ND STREET EASTALLIANCE, Alberta T0B 0A0 Canada",http://www.villageofalliance.ca/Attractions-Events.page
Alliance of Natural History Museums of Canada,"1740, CHEMIN PINKGATINEAU, Quebec J9J 3N7 Canada",http://www.naturalhistorymuseums.ca/index_e.htm
Allie Griffin Art Gallery,"45 BISON AVENUEWEYBURN, Saskatchewan S4H 0H9 Canada",https://weyburn.ca/galleries/
Ameliasburgh Heritage Village,"517 COUNTY ROAD 19AMELIASBURGH, Ontario K0K 1A0 Canada",https://www.thecounty.ca/county-government/departments/museums/about-us/ameliasburgh-heritage-village/
Amherstburg Freedom Museum,"277 KING STREETAMHERSTBURG, Ontario N9V 2C7 Canada",https://amherstburgfreedom.org/
Amos Seaman School Museum,"5518 BARRONSFIELD ROAD Minudie, Nova Scotia, B0L 1G0, CanadaMINUDIE, Nova Scotia B0L 1G0 Canada",http://minudieheritage.ca/the-school-house/
An Drochaid-The Bridge Museum,"11513 HIGHWAY 19MABOU, Nova Scotia B0E 1X0 Canada",https://www.novascotia.com/see-do/attractions/an-drochaid-the-bridge/1563
Ancient Echoes Interpretive Center,"WEST STREETHERSCHEL, Saskatchewan S0L 1L0 Canada",https://www.ancientechoes.ca/
Anderson Farm Museum,"550 REGIONAL ROAD 24LIVELY, Ontario P3Y 1M9 Canada",http://www.sudburymuseums.ca/index.cfm?app=w_vmuseum&lang=en&currID=1372&parID=1371
Andrew and District Local History Museum,"5313 - 50 AVENUEANDREW, Alberta T0B 2R0 Canada",http://www.lamontcounty.ca/88/11437/business/Andrew---District-Local-History-Museum
Anglican Cathedral of St. John the Baptist Archive and Museum,"16 CHURCH HILLST. JOHN'S, Newfoundland & Labrador A1C 3Z9 Canada",https://www.ourcathedral.ca/
Anglican Diocese of Calgary Archives,"180-1209 59TH AVENUE SOUTHEASTCALGARY, Alberta T2H 2P6 Canada",https://www.calgary.anglican.ca/resources/documents/pages/archives
Anglican Diocese of Fredericton Archives,"168 CHURCH STREETFREDERICTON, New Brunswick E3B 4C9 Canada",https://nb.anglican.ca/committees-teams/archives
Anglican Diocese of Ontario Archives,"90 JOHNSON STREETKINGSTON, Ontario Canada",https://ontario.anglican.ca/resources/archives
Anglican Diocese of Ottawa Archives,"71 BRONSON AVENUEOTTAWA, Ontario K1R 6G6 Canada",https://ottawa.anglican.ca/archives/
Angmarlik Visitor Center,"PANGNIRTUNGPANGNIRTUNG, Nunavut X0A 0R0 Canada",https://www.pangnirtung.ca/angmarlik
Anna Leonowens Art Gallery,"1891 GRANVILLE STREETHALIFAX, Nova Scotia B3J 3J6 Canada",http://theanna.nscad.ca/
Anna Swan Museum at The Creamery,"39 CREAMERY ROADTATAMAGOUCHE, Nova Scotia B0K 1V0 Canada",https://www.tatamagoucheheritagecentre.ca/anna-swan/
Annandale National Historic Site,"30 TILLSON AVENUETILLSONBURG, Ontario N4G 2Z8 Canada",https://www.tillsonburg.ca/en/Annandale-National-Historic-Site.aspx?_mid_=104570
Annapolis Heritage Society,"138 ST GEORGE STREETANNAPOLIS ROYAL, Nova Scotia B0S 1A0 Canada",http://annapolisheritagesociety.com/
Annapolis Valley Macdonald Museum,"21 SCHOOL STREETMIDDLETON, Nova Scotia B0S 1P0 Canada",https://macdonaldmuseum.ca/
Anne Murray Centre,"36 MAIN STREETSPRINGHILL, Nova Scotia B0M 1X0 Canada",http://www.annemurraycentre.com/
Anne of Green Gables Museum,"4542 PE ROUTE, 20 PARK CORNERKENSINGTON, Prince Edward Island C0B 1M0 Canada",https://annestore.ca/pages/anne-of-green-gables-museum
Anola and District Museum,"725 WEISER CRESCENTANOLA, Manitoba R0E 0A0 Canada",http://anola.mb.ca/?from=xiaodiaomao.com
Anthony Henday Museum (Anthony Henday Historical Society),"2503 20TH STREETDELBURNE, Alberta T0M 0V0 Canada",https://www.delburne.ca/explore/anthony-henday-museum
"Anthropology Museum, University of Winnipeg","515 PORTAGE AVENUEWINNIPEG, Manitoba R3B 2E9 Canada",https://www.uwinnipeg.ca/anthropology-museum/index.html
Antigonish Heritage Museum,"20 EAST MAIN STREETANTIGONISH, Nova Scotia B2G 2E9 Canada",https://www.antigonishheritage.org/
Antique Automobile Museum,"31 PRINCIPALE STREETSAINT-JACQUES, New Brunswick E7B 1V6 Canada",https://www.tourismedmundston.com/en-ca/things-to-do/antique-automobile-museum/
Appartenance Mauricie Société d'histoire régionale,"2152, RUE CASCADESHAWINIGAN, Quebec G9N 6T9 Canada",https://appartenancemauricie.ca/
Appin Museum,"48 WELLINGTON STREETAPPIN, Ontario N0L 1M0 Canada",https://www.southwestmiddlesex.ca/Public/Arts-and-Culture
Apple Capital Museum,"173 COMMERCIAL STREETBERWICK, Nova Scotia B0P 1E0 Canada",https://berwickapplemuseum.wixsite.com/homepage
Applewood Shaver House,"450 THE WEST MALLETOBICOKE, Ontario M9C 1E9 Canada",https://applewoodshaverhouse.ca/
Aquarium des Îles,"982 ROUTE 199, HAVRE-AUBERTÎLES DE LA MADELEINE, Quebec G4T 9C7 Canada",https://www.tripadvisor.ca/Attraction_Review-g4363356-d8018423-Reviews-Aquarium_des_Iles-Havre_Aubert_Iles_de_la_Madeleine_Quebec.html
Aquarium du Québec,"1675 AVENUE DES HÔTELSQUÉBEC, Quebec G1W 4S3 Canada",https://www.sepaq.com/ct/paq/
Arboretum (The),"COLLEGE AVENUE EASTGUELPH, Ontario N1G 2W1 Canada",https://www.uoguelph.ca/arboretum/
Archéo-Québec,"350 PLACE ROYALEVIEUX- MONTRÉAL, Quebec H2Y 3Y5 Canada",https://www.archeoquebec.com/
Archival and Special Collections | University of Guelph Library,"50 STONE ROAD EASTGUELPH, Ontario N1G 1Y4 Canada",https://www.lib.uoguelph.ca/about/about-our-teams/archival-special-collections
Archives | Centennial College of Applied Arts and Technology,"ROOM L3-06, 941 PROGRESS AVENUETORONTO, Ontario M1G 3T8 Canada",https://library.centennialcollege.ca/research-collections/centennial-archives/
Archives | uOttawa,"100 MARIE-CURIE STREET, ROOM 012OTTAWA, Ontario K1N 6N5 Canada",https://www.uottawa.ca/archives/en
Archives | Western University Libraries,"ARCHIVES AND RESEARCH COLLECTIONS CENTRE, D.B. WELDON LIBRARY, 1151 RICHMOND STREETLONDON, Ontario N6A 3K7 Canada",https://www.lib.uwo.ca/archives/
Archives |The Diocese of Toronto,"135 ADELAIDE STREET EASTTORONTO, Ontario M5C 1L8 Canada",https://www.toronto.anglican.ca/parish-administration/archives/
Archives and Local History | Whitby Public Library,"405 DUNDAS STREET WESTWHITBY, Ontario L1N 6A1 Canada",https://www.whitbylibrary.ca/archives-and-local-history
Archives and Special Collections at the University of Calgary,"2500 UNIVERSITY DRIVE NORTHWESTCALGARY, Alberta T2N 1N4 Canada",https://asc.ucalgary.ca/
"Archives and Special Collections, MacOdrum Library | Carleton University","ROOM 581 MACODRUM LIBRARY, 1125 COLONEL BY DRIVEOTTAWA, Ontario K1S 5B6 Canada",https://asc.library.carleton.ca/
Archives and the Erik Bruhn Library | National Ballet of Canada,"470 QUEENS QUAY WESTTORONTO, Ontario M5V 3K4 Canada",https://national.ballet.ca/Archives
Archives De Archidiocèse De Saint-Boniface,"151 AVENUE DE LA CATHÉDRALESAINT-BONIFACE, Manitoba R2H 0H6 Canada",https://www.archsaintboniface.ca/main.php?p=584
Archives de l'Archevêché de l`Archidiocèse de Montréal,"2000 RUE SHERBROOKE OUESTMONTRÉAL, Quebec H3H 1G4 Canada",https://www.diocesemontreal.org/en/archdiocese/archives
Archives de l'archidiocèse de Rimouski,"34, RUE DE L'ÉVÊCHÉ OUESTRIMOUSKI, Quebec G5L 4H5 Canada",http://www.patrimoine-religieux.qc.ca/fr/publications/repertoire-centres-services-ressources-archives-religieuses/archives-archidiocese-rimouski-fr
Archives de la Confédération des Caisses populaires et d'économie Desjardins du Québec,"59 AVENUE BÉGINLÉVIS, Quebec G6V 4C3 Canada",https://www.desjardins.com/ca/about-us/desjardins/who-we-are/our-history-museum/index.jsp
Archives de la Congrégation de Notre-Dame de Montréal,"2330 RUE SHERBROOKE OUESTMONTRÉAL, Quebec H3H 1G8 Canada",https://www.cnd-m.org/100/en/archives.php
Archives de la Côte-du-Sud et du Collége de Sainte-Anne,"100, 4E AVENUE PAINCHAUD, La Pocatière, Quebec, G0R 1Z0, CanadaLA POCATIÈRE, Quebec G0R 1Z0 Canada",http://www.shcds.org/archives.html
Archives de la Ville de Québec,"350 RUE SAINT-JOSEPH EST, 4E ÉTAGEQUÉBEC, Quebec G1K 3B2 Canada",https://www.ville.quebec.qc.ca/citoyens/patrimoine/archives/index.aspx
Archives de la Ville de Trois-Rivières,"1325, PLACE DE l'HOTEL-DE-VILLETROIS-RIVIÈRES, Quebec G9A 5H3 Canada",https://www.v3r.net/culture/histoire-et-patrimoine/archives
Archives de Montréal,"5800 SAINT DENIS STREET Montreal, Quebec H2S 3L5MONTRÉAL, Quebec H2S 3L5 Canada",http://archivesdemontreal.com/
Archives des Ursulines de Trois-Rivières,"784 DES URSULINESTROIS-RIVIÈRES, Quebec G9A 5B5 Canada",http://www.ursulines-uc.com/rappeler/archives/archives-de-trois-rivieres/
"Archives Deschâtelets-Notre-Dame-du-Cap, Les","460, 1IÈRE RUERICHELIEU, Quebec J3L 4B5 Canada",https://www.omi-qc-on.com/archives-deschtelets-ndc-c11pu
Archives du Séminaire de Trois-Rivières,"858 RUE LAVIOLETTETROIS-RIVIÈRES, Quebec G9A 5S3 Canada",http://www.ssj.qc.ca/ssjarchives/
Archives of Anglican Provincial Synod of British Columbia and Diocese of New Westminster,"1410 NANTON AVENUEVANCOUVER, British Columbia V6H 2E2 Canada",https://www.vancouver.anglican.ca/resources/archives
Archives of Jesuits in Canada,"25 JARRY STREET WEST, Montreal, Quebec, H2P 1S6, CanadaMONTREAL, Quebec H2P 1S6 Canada",http://archivesjesuites.ca/en/
Archives of Manitoba,"130 -200 VAUGHAN STREETWINNIPEG, Manitoba R3C 1T5 Canada",https://www.gov.mb.ca/chc/archives/
Archives of Ontario,"134 IAN MACDONALD BOULEVARDTORONTO, Ontario M7A 2C5 Canada",http://www.archives.gov.on.ca/en/index.aspx
Archives of The Anglican Diocese of B.C.,"900 VANCOUVER STREETVICTORIA, British Columbia V8V 3V7 Canada",https://www.bc.anglican.ca/pages/archives
Archives of the Anglican Diocese of Montréal,"1444 UNION AVENUEMONTRÉAL, Quebec H3A 2B8 Canada",https://www.anglican.ca/archives/incanada/
Archives of The Institute of The Blessed Virgin Mary,"70 ST MARY STREETTORONTO, Ontario M5S 1J3 Canada",https://www.ibvm.ca/institute-archives
Archives of The Roman Catholic Archdiocese of Toronto (ARCAT),"1155 YONGE STREET, SUITE 505TORONTO, Ontario M4T 1W2 Canada",https://www.archtoronto.org/archives
Arctic Institute of North America,"2500 UNIVERSITY DRIVE NWCALGARY, Alberta T2N 1N4 Canada",https://arctic.ucalgary.ca/
Argyle Township Court House & Gaol,"8168 HIGHWAY 3TUSKET, Nova Scotia B0W 3M0 Canada",https://www.novascotia.com/see-do/attractions/argyle-township-court-house-archives/1541
Arkona Lion's Museum and Information Centre,"ROCK GLEN CONSERVATION AREA, 8680 ROCK GLEN ROADARKONA, Ontario N0M 1B0 Canada",https://www.abca.ca/conservationareas/rockglen/
Armstrong Spallumcheen Museum and Arts Society,"3415 PLEASANT VALLEY ROADARMSTRONG, British Columbia V0E 1B0 Canada",https://armstrongspallmuseumart.com/
Army Museum,"CAVALIER BUILDING, 5425 SACKVILLE STREET 2ND FLOORHALIFAX, Nova Scotia B3J 3Y3 Canada",http://armymuseumhalifax.ca/
Army Museum Of Alberta,"4520 CROWCHILD TRAIL SWCALGARY, Alberta T2T 5J4 Canada",https://themilitarymuseums.ca/
Arnprior & District Museum,"35 MADAWASKA STREETARNPRIOR, Ontario K7S 1R6 Canada",http://arnprior.ca/town/arnprior-district-museum/
Arnprior & McNab/Braeside Archives,"21B MADAWASKA STREETARNPRIOR, Ontario K7S 1R6 Canada",https://www.adarchives.org/
Aron Museum,"4100 SHERBROOKE STREET WESTWESTMOUNT, Quebec H3Z 1A5 Canada",https://www.templemontreal.ca/activities/museum-gallery/
Arrow Lakes Historical Society,"92 6TH AVENUE NORTHWESTNAKUSP, British Columbia V0G 1R0 Canada",https://alhs-archives.com/
Art Dealers Association of Canada,"250 CONSUMERS ROAD, SUITE 301TORONTO, Ontario M2J 4V6 Canada",http://www.ad-ac.ca/
Art Gallery of Alberta,"2 SIR WINSTON CHURCHILL SQUAREEDMONTON, Alberta T5J 2C1 Canada",https://www.youraga.ca/
Art Gallery of Algoma (AGA),"10 EAST STREETSAULT STE. MARIE, Ontario P6A 3C3 Canada",https://www.artgalleryofalgoma.com/
Art Gallery of Bancroft,"10 FLINT AVENUEBANCROFT, Ontario K0L 1C0 Canada",http://www.artgallerybancroft.ca/
Art Gallery of Burlington,"1333 LAKESHORE ROADBURLINGTON, Ontario L7S 1A9 Canada",https://artgalleryofburlington.com/
Art Gallery of Golden,"516 9TH AVENUE NORTHGOLDEN, British Columbia V0A 1A0 Canada",https://kickinghorseculture.ca/art-gallery-of-golden/
Art Gallery of Grande Prairie,"103-9839 103 AVENUEGRANDE PRAIRIE, Alberta T8V 6M7 Canada",https://aggp.ca/
Art Gallery of Greater Victoria,"1040 MOSS STREETVICTORIA, British Columbia V8V 4P1 Canada",https://aggv.ca/
Art Gallery of Guelph,"358 GORDON STREETGUELPH, Ontario N1G 1Y1 Canada",http://artgalleryofguelph.ca/
Art Gallery of Hamilton,"123 KING STREET WESTHAMILTON, Ontario L8P 4S8 Canada",https://www.artgalleryofhamilton.com/
Art Gallery of Mississauga,"300 CITY CENTRE DRIVEMISSISSAUGA, Ontario L5B 3C1 Canada",https://www.insauga.com/place/art-gallery-of-mississauga (main website down)
Art Gallery of Northumberland,"VICTORIA HALL, WEST WING, THIRD FLOOR, 55 KING STREET WESTCOBOURG, Ontario K9A 2M2 Canada",https://www.artgalleryofnorthumberland.com/
Art Gallery of Nova Scotia,"1723 HOLLIS STREETHALIFAX, Nova Scotia B3J 1V9 Canada",https://www.artgalleryofnovascotia.ca/
Art Gallery of Ontario,"317 DUNDAS STREET WESTTORONTO, Ontario M5T 1G4 Canada",https://ago.ca/
Art Gallery of Peterborough,"DEL CRARY PARK, 250 CRESCENT STREETPETERBOROUGH, Ontario K9J 2G1 Canada",https://agp.on.ca/
Art Gallery of Regina,"2420 ELPHINSTONE STREETREGINA, Saskatchewan S4P 3C8 Canada",https://www.artgalleryofregina.ca/
Art Gallery of Southwestern Manitoba,"710 ROSSER AVENUE UNIT 2BRANDON, Manitoba R7A 0K9 Canada",https://agsm.ca/
Art Gallery of St. Albert,"19 PERRON STREETST. ALBERT, Alberta T8N 1E5 Canada",http://artgalleryofstalbert.ca/
Art Gallery of Sudbury,"251 JOHN STREETSUDBURY, Ontario P3E 1P9 Canada",https://artgalleryofsudbury.myshopify.com/
Art Gallery of Swift Current,"411 HERBERT STREET EASTSWIFT CURRENT, Saskatchewan S9H 1M5 Canada",https://artgalleryofswiftcurrent.org/
Art Gallery of York University,"8 ACCOLADE EAST BUILDING, 4700 KEELE STREETTORONTO, Ontario M3J 1P3 Canada",http://agyu.art/
Art Metropole,"158 STERLING ROADTORONTO, Ontario M6R 2B2 Canada",https://artmetropole.com/
Art Windsor-Essex,"401 RIVERSIDE DRIVE WESTWINDSOR, Ontario N9A 7J1 Canada",https://artwindsoressex.ca/
Artengine,"2 DALY AVENUEOTTAWA, Ontario K1N 6E2 Canada",http://wordpress.artengine.ca/
Arthur A. Wishart Library,"ALGOMA UNIVERSITY, 1520 QUEEN STREET EASTSAULT STE. MARIE, Ontario P6A 2G4 Canada",https://library.algomau.ca/
Artothèque de Montréal,"5720, RUE SAINT-ANDRÉMONTRÉAL, Quebec H2S 2K1 Canada",http://www.artotheque.ca/
Artport Gallery,"235 QUEENS QUAY WESTTORONTO, Ontario M5J 2G8 Canada",https://www.harbourfrontcentre.com/venues/artportgallery/
"Arts Section, Dept. of Tourism & Culture, Government of Yukon","PO BOX 2703WHITEHORSE, YK Y1A 2C6 Canada",https://yukon.ca/en/department-tourism-culture
Artspace,"378 AYLMER STREET NORTHPETERBOROUGH, Ontario K9J 7X6 Canada",https://artspace-arc.org/
Artspeak Gallery,"233 CARRALL STREETVANCOUVER, British Columbia V6B 2J2 Canada",http://artspeak.ca/
Ashcroft Museum and Archives,"404 BRINK STREETASHCROFT, British Columbia V0K 1A0 Canada",https://ashcroftbc.ca/museum/
Assiginack Museum Heritage Complex,"125 ARTHUR STREETMANITOWANING, Ontario P0P 1N0 Canada",http://www.assiginack.ca/assiginack-museum-heritage-complex/
Assiniboia and District Historical Society,"506 3RD AVENUE WESTASSINIBOIA, Saskatchewan S0H 0B0 Canada",http://www.southcentralmuseums.ca/assiniboia.html
Assiniboine Park Conservancy,"55 PAVILION CRESCENTWINNIPEG, Manitoba R3P 2N6 Canada",https://www.assiniboinepark.ca/
Assiniboine Park Zoo,"2595 ROBLIN BOULEVARDWINNIPEG, Manitoba R3P 2N7 Canada",https://www.assiniboinepark.ca/zoo/visit/hours-and-rates
Association Heritage New Brunswick,"163 ST. JOHN STREETFREDERICTON, New Brunswick E3B 4A8 Canada",https://ahnb-apnb.ca/
Association of Manitoba Museums,"2060-555 MAIN STREETWINNIPEG, Manitoba R3B 1C3 Canada",https://www.museumsmanitoba.com/
Association of Nova Scotia Museums,"1113 MARGINAL ROADHALIFAX, Nova Scotia B3H 4P7 Canada",https://ansm.ns.ca/
Association québécoise pour le patrimoine industriel,"2050, RUE ATATEKENMONTRÉAL, Quebec H2L 3L8 Canada",http://www.aqpi.qc.ca/
"ASTER, La Station scientifique du Bas-Saint-Laurent","170 CHEMIN JACQUES PELLETIERSAINT-LOUIS-DU-HA HA, Quebec G0L 3S0 Canada",http://www.asterbsl.ca/en/
Astrolab du Mont-Mégantic,"189, ROUTE DU PARCNOTRE-DAME-DES-BOIS, Quebec J0B 2E0 Canada",https://www.astrolab.qc.ca/
Atelier Circulaire,"5445, AVENUE DE GASPÉ, LOCAL 105MONTRÉAL, Quebec H2T 3B2 Canada",https://ateliercirculaire.org/
